City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2023-02-19 08:26:39,-33.65,115.3333,85.78,38,1,17.38
1,Tashara,RU,2023-02-19 08:26:39,55.5195,83.5094,17.8,83,97,10.89
2,Castro,BR,2023-02-19 08:26:40,-24.7911,-50.0119,54.05,96,100,7.56
3,Portland,US,2023-02-19 08:24:38,45.5234,-122.6762,45.18,88,40,4.61
4,Tiksi,RU,2023-02-19 08:26:40,71.6872,128.8694,-25.71,98,63,7.74
5,Hofn,IS,2023-02-19 08:26:41,64.2539,-15.2082,36.41,98,100,4.54
6,Barsovo,RU,2023-02-19 08:26:41,61.1667,73.1667,10.53,90,100,3.91
7,Iquitos,PE,2023-02-19 08:26:42,-3.7481,-73.2472,77.04,94,75,1.14
8,Mataura,NZ,2023-02-19 08:26:42,-46.1927,168.8643,59.49,95,100,1.34
9,Punta Arenas,CL,2023-02-19 08:24:24,-53.15,-70.9167,39.31,87,0,3.44
10,Lebu,CL,2023-02-19 08:26:43,-37.6167,-73.65,55.45,93,34,12.8
11,Poum,NC,2023-02-19 08:26:43,-20.2333,164.0167,80.55,65,20,11.43
12,Cloquet,US,2023-02-19 08:26:44,46.7216,-92.4594,24.98,86,0,0.0
13,Ushuaia,AR,2023-02-19 08:26:44,-54.8,-68.3,42.46,75,0,17.27
14,Touros,BR,2023-02-19 08:22:19,-5.1989,-35.4608,78.26,78,93,8.57
15,Port Alfred,ZA,2023-02-19 08:26:45,-33.5906,26.891,76.17,83,42,3.0
16,Valenca Do Piaui,BR,2023-02-19 08:26:45,-6.4075,-41.7456,67.28,96,98,3.2
17,Tuktoyaktuk,CA,2023-02-19 08:26:46,69.4541,-133.0374,-17.93,88,100,9.93
18,Barrow,US,2023-02-19 08:26:46,71.2906,-156.7887,-7.58,71,100,3.44
19,Leningradskiy,RU,2023-02-19 08:26:47,69.3833,178.4167,-34.56,99,82,4.23
20,West Bay,KY,2023-02-19 08:26:47,19.3667,-81.4167,79.0,81,0,5.01
21,Carnarvon,AU,2023-02-19 08:26:48,-24.8667,113.6333,80.53,70,0,20.89
22,Ostrovnoy,RU,2023-02-19 08:17:11,68.0531,39.5131,20.12,88,100,20.85
23,Batavia,US,2023-02-19 08:26:48,41.85,-88.3126,40.26,72,0,14.97
24,Nikolskoye,RU,2023-02-19 08:26:49,59.7035,30.7861,22.91,91,100,10.2
25,Rikitea,PF,2023-02-19 08:22:25,-23.1203,-134.9692,79.48,76,83,15.88
26,Shingu,JP,2023-02-19 08:26:49,33.7333,135.9833,57.16,75,100,9.01
27,Longyearbyen,SJ,2023-02-19 08:26:50,78.2186,15.6401,10.24,67,40,14.97
28,Maniitsoq,GL,2023-02-19 08:26:50,65.4167,-52.9,16.34,94,100,15.55
29,Thompson,CA,2023-02-19 08:26:51,55.7435,-97.8558,-30.84,75,0,3.44
30,Atuona,PF,2023-02-19 08:24:55,-9.8,-139.0333,79.09,79,29,16.42
31,Tessalit,ML,2023-02-19 08:26:51,20.1986,1.0114,66.15,14,0,18.28
32,Albany,US,2023-02-19 08:26:52,42.6001,-73.9662,30.81,68,96,1.99
33,Georgetown,MY,2023-02-19 08:26:52,5.4112,100.3354,89.55,61,20,9.22
34,Hervey Bay,AU,2023-02-19 08:26:53,-25.2986,152.8535,78.03,75,100,5.01
35,Khatanga,RU,2023-02-19 08:26:53,71.9667,102.5,4.75,92,100,14.2
36,Cabinda,AO,2023-02-19 08:26:54,-5.55,12.2,80.51,84,100,7.54
37,Porto Novo,BJ,2023-02-19 08:26:54,6.4965,2.6036,78.62,41,36,2.8
38,Hermanus,ZA,2023-02-19 08:26:55,-34.4187,19.2345,74.8,71,59,2.64
39,Tuatapere,NZ,2023-02-19 08:26:55,-46.1333,167.6833,58.1,81,100,2.93
40,Bakaly,RU,2023-02-19 08:26:56,55.1789,53.8028,7.92,90,79,6.22
41,Port Moresby,PG,2023-02-19 08:26:56,-9.4431,147.1797,85.42,74,40,17.27
42,Torbay,CA,2023-02-19 08:26:57,47.6666,-52.7314,16.57,89,75,9.22
43,Hamilton,US,2023-02-19 08:26:57,39.1834,-84.5333,41.76,57,0,5.75
44,Hobart,AU,2023-02-19 08:27:57,-42.8794,147.3294,76.05,45,0,12.66
45,Ponta Do Sol,PT,2023-02-19 08:27:58,32.6667,-17.1,63.23,53,18,5.37
46,Broken Hill,AU,2023-02-19 08:27:58,-31.95,141.4333,90.82,13,0,10.76
47,Tasiilaq,GL,2023-02-19 08:27:59,65.6145,-37.6368,21.36,92,100,19.08
48,Oranjemund,NA,2023-02-19 08:28:00,-28.55,16.4333,68.25,70,91,4.47
49,Aklavik,CA,2023-02-19 08:28:00,68.2191,-135.0107,-9.29,98,100,5.23
50,Butaritari,KI,2023-02-19 08:28:01,3.0707,172.7902,81.07,71,81,3.09
51,Avarua,CK,2023-02-19 08:28:01,-21.2078,-159.775,77.05,94,75,11.5
52,Kaitong,CN,2023-02-19 08:28:02,44.8135,123.15,25.52,37,100,12.28
53,Antofagasta,CL,2023-02-19 08:23:09,-23.65,-70.4,69.08,80,0,2.04
54,Komsomolskiy,UZ,2023-02-19 08:28:03,40.4272,71.7189,47.12,81,40,2.3
55,Rawson,AR,2023-02-19 08:28:04,-43.3002,-65.1023,65.43,38,26,18.95
56,Coihaique,CL,2023-02-19 08:28:05,-45.5752,-72.0662,48.15,49,0,4.61
57,Cape Town,ZA,2023-02-19 08:23:47,-33.9258,18.4232,74.12,65,0,14.97
58,Bredasdorp,ZA,2023-02-19 08:28:05,-34.5322,20.0403,72.7,60,52,2.77
59,Bluff,NZ,2023-02-19 08:28:06,-46.6,168.3333,59.81,66,88,4.94
60,Kapaa,US,2023-02-19 08:28:07,22.0752,-159.319,71.92,93,75,4.61
61,Tanout,NE,2023-02-19 08:28:07,14.9709,8.8879,63.48,15,0,21.85
62,Brae,GB,2023-02-19 08:28:08,60.3964,-1.353,43.54,75,100,13.98
63,Ulaanbaatar,MN,2023-02-19 08:24:28,47.9077,106.8832,19.53,63,0,15.66
64,Takoradi,GH,2023-02-19 08:28:09,4.8845,-1.7554,78.75,76,36,1.45
65,Nanton,CA,2023-02-19 08:28:10,50.3501,-113.7687,24.53,77,17,4.36
66,Yellowknife,CA,2023-02-19 08:28:10,62.456,-114.3525,-31.45,68,0,3.44
67,Gamba,GA,2023-02-19 08:28:11,-2.65,10.0,80.47,85,100,1.19
68,Nantucket,US,2023-02-19 08:28:12,41.2835,-70.0995,37.54,75,0,3.44
69,Puerto Ayora,EC,2023-02-19 08:28:12,-0.7393,-90.3518,79.56,96,64,7.0
70,Tabas,IR,2023-02-19 08:28:13,33.5959,56.9244,59.22,38,0,2.3
71,Hyderabad,IN,2023-02-19 08:28:14,17.3753,78.4744,88.21,29,20,11.5
72,Kruisfontein,ZA,2023-02-19 08:28:14,-34.0033,24.7314,75.34,57,25,4.54
73,Salalah,OM,2023-02-19 08:28:15,17.0151,54.0924,86.09,26,0,20.71
74,Sungaipenuh,ID,2023-02-19 08:28:16,-2.0833,101.3833,73.27,82,100,3.29
75,Haines Junction,CA,2023-02-19 08:28:16,60.7522,-137.5108,3.15,85,100,1.14
76,Sakakah,SA,2023-02-19 08:24:46,29.9697,40.2064,62.17,22,1,6.58
77,Ancud,CL,2023-02-19 08:28:18,-41.8697,-73.8203,54.57,92,99,2.8
78,Mana,GF,2023-02-19 08:28:18,5.6592,-53.7767,75.49,86,100,11.05
79,Cidreira,BR,2023-02-19 08:28:19,-30.1811,-50.2056,63.43,59,1,4.72
80,Masyaf,SY,2023-02-19 08:28:20,35.0653,36.3406,53.29,51,0,1.68
81,Ilulissat,GL,2023-02-19 08:28:20,69.2167,-51.1,23.02,63,75,31.07
82,Hilo,US,2023-02-19 08:24:52,19.7297,-155.09,68.25,100,100,1.01
83,Changqing,CN,2023-02-19 08:28:21,36.5575,116.7272,51.37,18,0,9.28
84,Erice,IT,2023-02-19 08:29:22,38.037,12.5865,47.37,87,0,3.44
85,Qaanaaq,GL,2023-02-19 08:29:22,77.484,-69.3632,-3.1,60,91,9.17
86,Airai,TL,2023-02-19 08:29:22,-8.9266,125.4092,67.48,83,96,1.66
87,Hovd,MN,2023-02-19 08:29:23,48.0056,91.6419,11.93,68,53,3.31
88,Padang,ID,2023-02-19 08:26:50,-0.9492,100.3543,82.45,80,100,5.39
89,Korla,CN,2023-02-19 08:29:23,41.7597,86.1469,37.35,63,95,3.47
90,Praia,CV,2023-02-19 08:28:45,14.9215,-23.5087,70.34,64,75,14.97
91,Maragogi,BR,2023-02-19 08:29:24,-9.0122,-35.2225,77.2,84,97,5.21
92,Hualmay,PE,2023-02-19 08:29:24,-11.0964,-77.6139,74.21,81,97,7.38
93,Saint-Joseph,RE,2023-02-19 08:29:25,-21.3667,55.6167,86.38,73,24,11.25
94,Pevek,RU,2023-02-19 08:29:25,69.7008,170.3133,-26.16,91,100,2.1
95,Saint-Philippe,RE,2023-02-19 08:29:25,-21.3585,55.7679,87.39,76,37,12.12
96,Lasa,IT,2023-02-19 08:29:26,46.6166,10.7002,47.28,63,89,7.2
97,Cherskiy,RU,2023-02-19 08:29:26,68.75,161.3,-29.81,94,100,3.74
98,Santa Rosalia,MX,2023-02-19 08:29:27,27.3167,-112.2833,59.63,59,100,4.09
99,Arraial Do Cabo,BR,2023-02-19 08:25:51,-22.9661,-42.0278,75.34,92,97,14.27
100,Ganzhou,CN,2023-02-19 08:29:27,28.8184,115.4327,61.65,51,100,9.37
101,Victoria,HK,2023-02-19 08:27:59,22.2855,114.1577,79.32,63,95,4.0
102,Mount Gambier,AU,2023-02-19 08:29:28,-37.8333,140.7667,70.63,48,0,7.38
103,Flinders,AU,2023-02-19 08:29:28,-34.5833,150.8552,79.18,74,2,3.0
104,Aleksandrovskiy Zavod,RU,2023-02-19 08:29:29,50.9237,117.9374,8.28,80,100,9.55
105,Katiola,CI,2023-02-19 08:29:29,8.1333,-5.1,75.83,22,50,1.9
106,Simbahan,PH,2023-02-19 08:29:29,6.3032,120.5836,80.78,80,72,15.57
107,Kamaishi,JP,2023-02-19 08:29:30,39.2667,141.8833,38.91,97,100,4.74
108,Cabo San Lucas,MX,2023-02-19 08:29:30,22.8909,-109.9124,66.51,76,92,7.87
109,New Norfolk,AU,2023-02-19 08:29:31,-42.7826,147.0587,75.7,37,100,8.01
110,Jamestown,US,2023-02-19 08:29:31,42.097,-79.2353,35.19,65,0,6.91
111,Tambura,SS,2023-02-19 08:29:32,5.6,27.4667,86.41,14,95,10.16
112,Upernavik,GL,2023-02-19 08:29:32,72.7868,-56.1549,-5.26,88,58,6.96
113,Miyako,JP,2023-02-19 08:29:33,39.6367,141.9525,37.09,98,100,3.58
114,Codrington,AU,2023-02-19 08:29:33,-38.2667,141.9667,68.45,58,0,12.46
115,Vaini,TO,2023-02-19 08:29:33,-21.2,-175.2,78.96,94,75,1.14
116,Sovetskiy,RU,2023-02-19 08:29:34,61.3614,63.5842,10.51,90,100,2.91
117,Port Elizabeth,ZA,2023-02-19 08:29:34,-33.918,25.5701,73.69,73,75,6.91
118,Malampaka,TZ,2023-02-19 08:29:35,-3.1333,33.5333,82.85,33,90,8.88
119,Fortuna,US,2023-02-19 08:29:35,40.5982,-124.1573,44.92,95,100,3.0
120,Beeville,US,2023-02-19 08:29:36,28.4008,-97.7483,48.29,93,0,3.44
121,Yingkou,CN,2023-02-19 08:29:36,40.6648,122.2283,35.89,39,9,11.34
122,Mahebourg,MU,2023-02-19 08:29:37,-20.4081,57.7,86.25,70,75,11.5
123,Nanortalik,GL,2023-02-19 08:29:37,60.1432,-45.2371,22.86,84,100,20.96
124,Kodiak,US,2023-02-19 08:29:37,57.79,-152.4072,38.71,60,0,18.41
125,Lorengau,PG,2023-02-19 08:29:38,-2.0226,147.2712,82.09,73,100,2.55
126,Bethel,US,2023-02-19 08:26:47,41.3712,-73.414,35.94,64,0,0.0
127,Kedrovyy,RU,2023-02-19 08:29:38,56.1667,91.8167,27.01,83,92,4.45
128,Aborlan,PH,2023-02-19 08:29:39,9.4352,118.5492,87.87,69,77,5.32
129,Khash,IR,2023-02-19 08:29:39,28.2211,61.2158,70.11,27,99,20.18
130,Ribeira Grande,PT,2023-02-19 08:29:40,38.5167,-28.7,56.77,88,40,5.75
131,Tutoia,BR,2023-02-19 08:29:40,-2.7619,-42.2744,76.32,85,100,8.5
132,Muros,ES,2023-02-19 08:29:40,42.7762,-9.0603,48.83,75,55,8.12
133,Esperance,AU,2023-02-19 08:30:41,-33.8667,121.9,70.75,79,0,18.81
134,Adrar,MR,2023-02-19 08:30:41,20.5022,-10.0711,76.44,13,69,7.54
135,Samarai,PG,2023-02-19 08:30:42,-10.6167,150.6667,82.72,73,90,9.01
136,Norman Wells,CA,2023-02-19 08:30:43,65.282,-126.8329,-9.36,77,75,5.75
137,Kuminskiy,RU,2023-02-19 08:30:43,58.6667,66.5667,14.31,86,100,3.76
138,Tateyama,JP,2023-02-19 08:30:44,34.9833,139.8667,63.1,68,97,26.64
139,Comodoro Rivadavia,AR,2023-02-19 08:25:49,-45.8667,-67.5,58.86,44,0,9.22
140,Kota Kinabalu,MY,2023-02-19 08:30:45,5.9749,116.0724,84.18,79,20,7.0
141,Bayji,IQ,2023-02-19 08:27:11,34.9311,43.487,53.4,31,0,3.87
142,Beringovskiy,RU,2023-02-19 08:30:45,63.05,179.3167,-7.04,98,100,12.35
143,Paamiut,GL,2023-02-19 08:30:46,61.994,-49.6678,17.55,89,100,11.3
144,Mananjary,MG,2023-02-19 08:30:46,-21.2167,48.3333,85.53,59,90,9.01
145,Zhangjiakou,CN,2023-02-19 08:30:47,40.81,114.8794,30.09,58,0,12.12
146,Lompoc,US,2023-02-19 08:30:47,34.6391,-120.4579,45.01,69,0,11.5
147,Gushikawa,JP,2023-02-19 08:30:48,26.3544,127.8686,71.19,64,20,9.22
148,Camacha,PT,2023-02-19 08:30:48,33.0833,-16.3333,58.42,82,40,12.66
149,Amarante,BR,2023-02-19 08:30:49,-6.2411,-42.8547,69.78,99,62,3.91
150,Chuy,UY,2023-02-19 08:30:50,-33.6971,-53.4616,52.03,70,3,3.8
151,Salvador,SV,2023-02-19 08:30:50,13.8333,-88.9167,70.2,85,7,3.62
152,Olafsvik,IS,2023-02-19 08:30:51,64.8945,-23.7142,34.39,97,100,16.71
153,Havre-Saint-Pierre,CA,2023-02-19 08:30:51,50.2334,-63.5986,17.6,77,20,4.61
154,San Cristobal,VE,2023-02-19 08:28:21,7.7669,-72.225,60.44,83,35,1.3
155,San Ignacio,BZ,2023-02-19 08:30:52,17.1561,-89.0714,69.94,94,0,0.0
156,Onega,RU,2023-02-19 08:30:52,63.9061,38.1404,15.22,89,44,11.39
157,Sao Filipe,CV,2023-02-19 08:30:53,14.8961,-24.4956,71.13,70,98,7.05
158,Banda Aceh,ID,2023-02-19 08:30:53,5.5577,95.3222,85.05,67,72,15.93
159,Nelson Bay,AU,2023-02-19 08:30:54,-32.7167,152.15,80.1,84,0,8.01
160,Sitka,US,2023-02-19 08:30:54,57.0531,-135.33,39.09,81,100,9.22
161,Kristiansund,NO,2023-02-19 08:30:55,63.1115,7.732,32.05,86,75,12.66
162,Saint-Augustin,CA,2023-02-19 08:30:55,51.226,-58.6502,2.41,95,44,6.6
163,Geraldton,AU,2023-02-19 08:30:56,-28.7667,114.6,82.81,57,0,20.71
164,Lucea,JM,2023-02-19 08:30:56,18.451,-78.1736,76.86,74,2,18.54
165,Havoysund,NO,2023-02-19 08:30:57,70.9963,24.6622,34.03,97,100,3.44
166,Sao Joao Da Barra,BR,2023-02-19 08:30:57,-21.6403,-41.0511,75.09,91,96,11.88
167,Souillac,MU,2023-02-19 08:30:58,-20.5167,57.5167,84.58,70,75,11.5
168,Pisco,PE,2023-02-19 08:30:58,-13.7,-76.2167,73.45,88,94,5.75
169,Richards Bay,ZA,2023-02-19 08:30:59,-28.783,32.0377,83.35,67,19,0.81
170,Khoy,IR,2023-02-19 08:30:59,38.5504,44.9535,39.72,33,40,4.61
171,Buta,CD,2023-02-19 08:30:59,2.7858,24.73,95.83,15,53,5.17
172,Neokhorion,GR,2023-02-19 08:31:01,41.1833,23.25,61.68,38,14,2.44
173,Dikson,RU,2023-02-19 08:31:01,73.5069,80.5464,9.54,94,100,19.71
174,Hauterive,FR,2023-02-19 08:31:02,46.0901,3.4459,43.56,76,100,2.98
175,Bilma,NE,2023-02-19 08:31:03,18.6853,12.9164,66.43,17,2,6.46
176,Sumter,US,2023-02-19 08:31:04,28.7086,-82.0831,58.08,81,21,5.99
177,Vikhorevka,RU,2023-02-19 08:31:04,56.1201,101.1636,11.79,89,71,4.36
178,Karratha,AU,2023-02-19 08:31:05,-20.7377,116.8463,92.14,47,10,14.81
179,Suntar,RU,2023-02-19 08:31:07,62.1444,117.6319,-6.32,93,94,5.48
180,Mar Del Plata,AR,2023-02-19 08:29:49,-38.0023,-57.5575,52.88,83,0,6.91
181,Riyadh,SA,2023-02-19 08:31:08,24.6877,46.7219,57.34,16,81,7.7
182,Naze,JP,2023-02-19 08:32:09,28.3667,129.4833,63.52,80,100,18.37
183,Paralimni,CY,2023-02-19 08:32:09,35.0375,33.9833,61.68,62,0,5.99
184,Seoul,KR,2023-02-19 08:30:09,37.5683,126.9778,43.99,24,0,16.11
185,Hobyo,SO,2023-02-19 08:32:11,5.3505,48.5268,81.82,57,81,22.75
186,Taltal,CL,2023-02-19 08:30:25,-25.4,-70.4833,70.14,86,35,0.98
187,Kirksville,US,2023-02-19 08:29:57,40.1948,-92.5833,42.75,51,100,14.97
188,General Roca,AR,2023-02-19 08:32:12,-39.0333,-67.5833,61.63,14,34,8.9
189,Mackay,AU,2023-02-19 08:32:13,-21.15,149.2,78.62,72,70,11.39
190,Satara,IN,2023-02-19 08:32:13,17.6833,73.9833,90.27,11,0,12.21
191,Yeppoon,AU,2023-02-19 08:32:14,-23.1333,150.7333,80.38,73,100,16.24
192,Sinegorye,RU,2023-02-19 08:32:14,62.0788,150.477,-28.61,100,94,1.81
193,Saint-Pierre,RE,2023-02-19 08:32:16,-21.3393,55.4781,87.48,66,20,25.32
194,East London,ZA,2023-02-19 08:28:18,-33.0153,27.9116,76.14,78,40,9.22
195,Los Llanos De Aridane,ES,2023-02-19 08:32:17,28.6585,-17.9182,56.95,72,40,4.61
196,Coquimbo,CL,2023-02-19 08:31:57,-29.9533,-71.3436,62.33,77,0,4.61
197,Bonavista,CA,2023-02-19 08:32:18,48.6499,-53.1147,14.02,79,98,12.35
198,Saint George,US,2023-02-19 08:32:19,37.1041,-113.5841,37.99,65,0,5.75
199,Kokomo,US,2023-02-19 08:30:00,40.4864,-86.1336,40.01,61,100,13.8
200,San Jose,US,2023-02-19 08:30:14,37.3394,-121.895,52.0,59,0,1.99
201,Bambous Virieux,MU,2023-02-19 08:32:20,-20.3428,57.7575,86.22,70,75,11.5
202,Garoua Boulai,CM,2023-02-19 08:32:21,5.8833,14.55,86.32,12,41,11.18
203,Gambo,CF,2023-02-19 08:30:56,4.6482,22.2633,95.31,13,99,5.91
204,Provideniya,RU,2023-02-19 08:32:23,64.3833,-173.3,-8.81,91,92,9.95
205,French Harbor,HN,2023-02-19 08:32:24,16.35,-86.4333,78.87,74,6,13.94
206,Talnakh,RU,2023-02-19 08:32:24,69.4865,88.3972,11.21,96,95,8.37
207,Husavik,IS,2023-02-19 08:32:25,66.0449,-17.3389,32.95,79,100,17.92
208,Kulhudhuffushi,MV,2023-02-19 08:32:25,6.6221,73.07,80.83,62,100,8.05
209,Bengkulu,ID,2023-02-19 08:32:26,-3.8004,102.2655,83.55,69,100,5.79
210,Abu Kamal,SY,2023-02-19 08:32:27,34.4506,40.9171,58.3,27,0,3.09
211,Bollnas,SE,2023-02-19 08:32:28,61.3482,16.3946,30.38,68,2,14.09
212,Isangel,VU,2023-02-19 08:32:28,-19.55,169.2667,77.68,75,2,10.89
213,Ternate,ID,2023-02-19 08:32:28,0.8,127.4,81.16,78,100,2.66
214,Tilichiki,RU,2023-02-19 08:32:29,60.4667,166.1,-6.18,91,97,7.76
215,Fairbanks,US,2023-02-19 08:27:40,64.8378,-147.7164,-2.9,82,100,0.0
216,Wasilla,US,2023-02-19 08:32:30,61.5814,-149.4394,27.95,92,100,0.0
217,Port Macquarie,AU,2023-02-19 08:32:03,-31.4333,152.9167,75.88,71,90,12.21
218,Zhezkazgan,KZ,2023-02-19 08:32:31,47.8043,67.7144,4.98,78,40,6.71
219,Mandera,KE,2023-02-19 08:32:31,3.9366,41.867,92.91,16,69,19.19
220,Mauganj,IN,2023-02-19 08:32:32,24.6833,81.8833,87.48,17,0,7.52
